id,age,education,marital,gender,ethnic,industry,income
103,38.522,16,3,0,2,0,28700
104,46.277,17,1,0,2,4,54785
105,30.403,16,1,0,1,4,75918
106,51.755,16,1,0,0,5,60206
107,35.902,12,1,1,1,1,40751
108,58.536,17,1,1,2,4,73133
109,33.089,12,1,0,2,6,91282
110,34.185,18,1,0,1,2,49295
111,35.755,19,0,1,1,7,84023
112,44.703,12,0,0,1,7,117959
113,45.983,12,0,0,2,1,35159
114,36.771,12,1,0,0,6,84099
115,48.813,17,1,1,0,6,63355
116,55.149,16,3,0,0,3,52216
117,40.979,12,1,0,1,6,107920
118,32.629,19,2,0,2,0,27935
119,34.51,18,2,1,0,1,35030
120,54.618,14,1,0,0,7,123832
121,35.776,18,0,0,1,1,46755
122,56.162,14,1,0,1,1,33787
123,50.957,14,1,1,2,0,27332
124,42.139,16,1,1,1,2,40932
125,43.403,18,0,1,0,6,90550
126,50.737,16,1,0,2,7,139005
127,52.137,16,0,1,0,0,25961
128,56.996,18,2,1,0,0,30390
129,47.353,16,2,1,2,2,44254
130,30.178,14,1,1,0,5,63987
131,45.854,16,3,0,1,3,63258
132,31.327,16,1,1,1,2,42001
133,36.67,12,0,1,0,2,40501
134,44.389,16,1,1,2,7,107962
135,43.472,14,1,1,1,3,52537
136,50.733,14,0,1,1,6,97366
137,41.749,13,1,1,1,6,114712
138,51.554,14,1,1,2,4,49856
139,45.396,14,1,0,2,6,78121
140,48.256,16,3,0,1,4,74588
141,45.03,12,1,0,1,2,35143
142,45.467,12,0,0,2,4,76828
143,38.157,12,0,1,0,1,35573
144,36.248,18,0,1,2,3,45193
145,53.537,14,2,0,0,6,102608
146,53.903,16,0,0,2,7,151212
147,42.384,22,1,1,2,7,120796
148,50.081,16,0,0,2,6,108583
149,34.942,10,0,1,1,4,70921
150,33.23,18,2,0,1,2,35423
151,42.937,14,1,0,1,1,33357
152,58.909,21,1,0,1,2,42727
153,56.537,18,1,0,0,1,33258
154,54.657,16,0,1,2,5,63254
155,54.256,16,3,0,1,0,23614
156,46.53,16,1,1,2,5,68016
157,49.74,14,1,0,0,5,64965
158,45.102,12,1,0,1,0,27383
159,50.012,18,0,1,1,2,46200
160,37.299,16,1,0,2,1,48095
161,37.332,17,1,0,1,7,126542
162,44.588,8,1,0,2,1,36560
163,31.228,16,1,0,2,6,117529
164,53.028,12,1,1,0,6,116928
165,38.532,16,1,0,0,0,33745
166,52.15,16,1,0,2,5,87243
167,58.305,13,1,0,0,5,71521
168,58.8,18,0,0,0,0,26774
169,51.242,16,0,0,1,4,51677
170,43.235,13,3,1,0,0,20007
171,42.344,17,0,0,0,0,30804
172,43.92,14,1,0,1,1,38669
173,40.051,12,2,0,2,7,126250
174,46.574,18,0,0,2,5,56879
175,33.788,14,1,1,0,0,25820
176,47.478,20,1,1,1,0,31272
177,59.088,16,0,0,1,1,37058
178,40.899,10,0,0,1,4,58262
179,40.718,14,1,0,0,4,62949
180,40.598,12,3,1,2,7,127932
181,51.044,16,1,0,1,7,119425
182,47.589,17,2,1,1,1,40483
183,47.699,12,1,1,1,2,40240
184,32.815,16,1,0,0,0,35075
185,56.906,16,0,1,0,3,47567
186,51.622,12,1,1,0,0,33406
187,38.483,16,1,1,2,7,135030
188,41.167,18,1,0,1,7,108048
189,46.239,13,1,1,1,3,42240
190,40.275,12,1,1,0,6,120501
191,32.805,16,0,1,0,0,23770
192,32.482,14,1,1,0,4,69904
193,41.633,14,0,1,0,7,104795
194,48.133,11,2,1,0,3,55886
195,55.767,13,0,1,1,1,36222
196,48.725,18,1,1,1,6,116482
197,51.867,13,1,0,0,6,101911
198,54.648,13,1,0,0,0,30019
199,56.886,12,3,0,1,1,34581
200,50.095,14,1,0,1,6,87919
201,58.356,12,1,1,2,0,25268
202,30.66,17,1,0,1,1,42200
203,57.711,18,0,1,0,3,43973
204,32.325,12,2,1,0,5,64922
205,46.848,19,0,1,2,3,54561
206,39.136,16,1,1,1,1,26095
207,36.128,14,1,0,0,5,77829
208,43.299,13,2,0,1,5,65391
209,46.615,12,1,0,2,1,35745
210,32.845,16,0,1,1,3,52315
211,33.564,14,1,1,1,5,81481
212,52.369,12,1,1,2,6,92485
213,31.083,16,0,0,1,3,39228
214,41.421,14,2,1,1,3,50357
215,45.603,16,0,1,1,3,59773
216,51.356,14,1,0,0,2,52945
217,40.645,19,0,1,1,1,40294
218,45.653,12,1,1,1,1,25324
219,31.793,16,0,0,2,6,86142
220,31.836,11,2,0,1,2,33036
221,45.495,0,0,0,1,7,147207
222,51.046,16,3,0,0,0,31498
223,37.836,18,2,0,1,2,34821
224,44.532,20,1,1,1,2,33418
225,58.023,14,1,1,1,3,47046
226,41.235,14,1,0,1,5,70140
227,57.45,21,3,1,2,6,116158
228,54.09,12,0,1,1,2,42717
229,38.733,18,1,0,0,4,58008
230,52.467,14,1,1,1,2,51110
231,55.202,14,0,0,1,6,87131
232,36.985,14,1,1,0,2,32709
233,48.1,18,0,0,2,5,71531
234,55.917,16,1,0,0,2,51732
235,48.512,13,0,0,1,3,48633
236,44.466,12,3,0,2,4,65145
237,37.58,12,0,0,1,3,54153
238,37.603,14,1,0,2,4,59724
239,31.632,12,0,1,1,3,53716
240,59.412,16,3,0,1,3,61225
241,34.034,16,1,0,0,4,65668
242,39.771,16,0,0,2,0,34403
243,50.375,12,1,0,1,1,33194
244,54.287,18,1,0,2,3,55985
245,42.29,14,2,0,2,4,72241
246,37.644,18,1,0,1,1,41382
247,49.008,16,2,0,0,6,91480
248,42.381,16,2,0,0,3,57106
249,35.081,13,0,1,1,3,50263
250,41.669,16,3,0,1,6,102885
251,37.332,14,1,1,0,6,101771
252,41.062,12,1,0,0,2,42109
253,50.877,18,0,0,0,1,32980
254,35.687,12,0,0,1,3,55212
255,43.601,18,1,1,2,0,23553
256,57.208,12,1,0,0,0,27357
257,32.205,18,2,0,2,2,40478
258,30.057,16,1,1,2,7,125376
259,52.796,14,1,0,2,4,58473
260,36.555,16,2,0,0,4,60375
261,33.895,12,3,1,1,3,46598
262,54.561,14,0,1,2,3,56323
263,57.349,16,1,0,1,4,60307
264,45.101,20,0,1,1,6,112237
265,38.213,16,0,0,0,0,32752
266,47.065,20,1,1,0,6,125340
267,47.88,12,1,1,0,3,48327
268,50.3,12,0,0,1,4,69852
269,57.106,16,3,0,0,4,49871
270,40.595,14,0,1,0,1,29687
271,58.116,14,0,1,1,6,95544
272,46.974,14,2,0,1,6,86472
273,36.172,16,1,0,1,2,47771
274,49.751,14,1,0,2,4,64875
275,51.724,16,1,0,2,0,28114
276,47.264,14,0,1,0,3,59247
277,34.441,17,0,1,2,2,54427
278,40.711,20,1,1,0,5,66626
279,46.24,14,1,0,1,7,97335
280,45.523,18,0,0,1,2,39752
281,34.051,18,0,0,2,2,39182
282,37.617,12,0,0,1,2,48452
283,35.049,12,0,1,0,0,27449
284,52.841,16,1,0,1,0,22891
285,38.757,12,1,0,2,4,47762
286,47.122,16,1,0,0,1,34849
287,42.318,20,1,1,1,1,33533
288,54.374,16,3,0,1,2,44712
289,55.547,13,1,1,2,0,22770
290,49.545,17,1,1,0,7,119022
291,44.741,16,0,0,1,1,35498
292,44.21,16,1,0,0,4,65141
293,50.212,13,3,0,1,2,49882
294,35.121,16,0,1,2,6,87409
295,30.224,14,1,1,1,6,80456
296,41.003,17,0,1,1,2,43865
297,44.064,20,1,1,1,5,81494
298,50.461,16,1,0,1,7,63044
299,43.584,12,1,1,0,1,35798
300,52.26,14,2,1,1,1,43812
301,41.287,16,1,1,0,3,52856
302,41.869,12,1,1,2,6,101847
303,44.402,12,1,1,0,2,43256
304,49.139,16,0,0,2,1,30968
305,35.735,14,1,1,0,6,110793
306,48.568,12,0,1,1,3,58257
307,36.791,18,0,0,1,1,30688
308,53.045,16,0,0,1,3,52073
309,47.421,12,1,1,1,4,58894
310,33.799,18,1,1,2,6,75322
311,49.594,12,0,0,0,0,23306
312,39.232,16,0,0,1,1,40196
313,56.344,18,0,0,2,1,30322
314,39.452,18,1,1,2,2,43711
315,31.292,17,0,0,0,3,56822
316,56.181,16,1,1,0,5,55497
317,42.68,12,1,1,1,1,30533
318,52.822,12,0,0,0,6,80193
319,33.201,18,0,1,0,3,64847
320,54.651,16,2,1,1,0,27195
321,48.556,12,2,0,0,7,96161
322,46.428,17,0,0,0,5,68942
323,51.029,19,3,0,2,5,68265
324,31.276,13,1,1,1,6,90542
325,42.95,12,1,1,2,1,40995
326,53.014,16,1,1,0,6,69018
327,47.513,16,3,0,0,7,126328
328,59.014,16,0,1,0,1,38833
329,44.944,16,1,0,0,2,51031
330,30.912,14,0,1,1,6,110293
331,44.891,16,1,0,0,7,81897
332,36.298,12,1,1,1,5,49817
333,33.032,14,0,1,2,3,47839
334,47.598,16,0,0,1,3,54899
335,36.92,14,3,0,1,2,55537
336,33.217,20,1,1,2,0,23912
337,44.058,16,1,1,1,1,30191
338,54.078,18,1,0,1,2,59505
339,56.356,12,1,1,1,5,55820
340,54.465,14,0,1,1,0,26013
341,46.736,12,1,1,0,6,124555
342,46.757,16,1,0,0,2,47938
343,52.649,12,1,1,2,5,57654
344,48.691,19,1,0,0,1,39303
345,55.547,14,2,1,1,0,34290
346,35.374,16,3,0,1,2,35165
347,41.986,12,0,0,2,4,65077
348,36.169,16,0,0,0,7,131083
349,39.669,12,1,1,1,1,41007
350,33.002,16,0,1,0,4,47374
351,41.423,13,0,1,2,3,52906
352,49.784,14,1,0,0,5,65442
353,37.637,12,0,0,1,0,28141
354,52.143,16,0,0,1,1,33209
355,31.186,12,3,1,2,5,76510
356,50.69,16,1,1,2,1,35600
357,58.847,19,3,0,1,0,31808
358,34.19,12,1,1,1,6,102828
359,35.199,14,1,1,1,3,63766
360,59.312,18,1,0,0,3,52059
361,52.055,18,1,0,0,3,64072
362,30.41,14,1,1,1,3,62317
363,41.441,14,1,0,2,2,46784
364,37.892,16,2,1,0,1,33357
365,30.917,12,0,0,0,7,105878
366,32.777,18,1,1,0,6,78405
367,44.698,16,1,1,0,2,46764
368,37.053,17,0,0,1,2,40896
369,37.965,20,1,0,1,0,26442
370,49.87,18,0,0,1,5,66716
371,51.298,21,1,1,0,4,57984
372,38.239,16,0,0,2,7,110896
373,33.33,12,1,1,2,2,46564
374,38.86,16,1,1,2,6,98684
375,45.95,12,1,0,2,5,59846
376,38.554,12,0,1,0,5,69600
377,48.4,16,1,1,2,2,51923
378,59.654,13,1,0,0,5,76366
379,38.262,14,0,0,2,6,99364
380,51.112,18,0,1,2,1,32770
381,53.006,16,1,1,0,1,37447
382,55.597,17,1,1,0,6,75476
383,51.327,16,0,0,2,5,60558
384,31.892,22,0,1,1,1,33598
385,53.493,17,0,1,2,3,58814
386,41.956,16,0,1,0,7,105974
387,30.618,16,1,0,0,6,105979
388,46.376,18,2,1,1,2,45466
389,44.501,18,3,1,2,3,60868
390,59.96,18,0,1,2,0,24424
391,35.178,10,0,1,0,6,117135
392,47.617,12,1,1,0,6,91942
393,36.834,12,1,0,0,3,52988
394,36.014,16,3,0,1,5,76167
395,33.596,12,0,0,2,4,64960
396,46.876,14,1,1,2,1,38028
397,46.782,12,0,1,1,2,46166
398,53.146,16,1,1,1,3,48115
399,40.855,14,1,1,0,6,81108
400,58.353,16,1,1,0,6,76001
401,50.377,12,1,1,1,0,35366
402,55.901,12,2,1,2,6,95374
403,43.957,16,1,0,2,1,38634
404,47.722,13,0,0,2,6,101714
405,32.885,14,3,0,0,0,26689
406,59.653,14,0,1,1,0,23785
407,48.944,13,1,0,0,4,61395
408,39.556,12,2,0,1,2,46728
409,39.776,16,0,1,1,4,71882
410,51.374,18,0,0,2,1,43089
411,51.456,8,1,0,1,3,59946
412,34.335,14,0,1,2,1,32931
413,41.564,20,1,1,0,2,45384
414,39.365,16,0,1,0,2,42423
415,46.429,18,0,0,1,0,29410
416,32.577,16,1,0,1,3,50947
417,48.022,18,1,0,2,5,57976
418,33.208,16,1,0,0,2,57288
419,38.299,12,1,0,2,5,50191
420,30.909,16,1,0,0,0,22556
421,39.744,16,1,0,1,0,28804
422,31.479,14,1,1,2,0,30052
423,43.643,16,0,1,0,0,23472
424,42.746,17,1,0,0,3,53068
425,40.669,17,1,1,1,4,69629
426,43.505,19,1,0,1,0,24369
427,53.523,16,0,0,1,6,86141
428,48.973,16,1,1,0,4,56958
429,30.328,16,1,0,2,4,63664
430,44.253,18,3,0,2,2,41678
431,38.879,16,2,1,2,3,49525
432,31.771,16,1,0,1,1,43930
433,49.409,16,1,1,1,6,72296
434,47.99,21,0,1,1,7,118176
435,38.936,12,0,1,0,1,41031
436,33.912,12,0,1,2,1,33876
437,50.412,16,0,1,1,1,33357
438,51.473,18,3,0,1,3,55932
439,48.682,16,1,1,1,3,51674
440,38.124,18,1,1,2,2,45817
441,59.288,12,1,1,2,2,54813
442,47.71,16,3,0,1,1,44722
443,48.984,14,1,0,2,7,121759
444,38.352,12,0,1,0,1,39951
445,44.104,13,3,0,1,1,35047
446,33.713,16,0,0,1,6,83542
447,33.554,18,2,0,0,2,39830
448,32.325,16,1,1,2,0,25142
449,43.921,16,0,1,2,3,43832
450,35.58,18,0,0,0,1,32198
451,43.171,16,0,1,0,0,29957
452,54.752,16,0,1,1,2,39703
453,57.87,16,1,1,0,1,33669
454,33.101,12,1,1,1,5,87011
455,54.078,19,1,0,0,3,43025
456,59.156,14,1,0,0,3,42066
457,51.5,14,1,1,1,3,55076
458,54.461,12,2,1,0,4,63488
459,48.074,16,0,0,2,0,32180
460,54.116,14,0,0,2,4,51735
461,40.568,14,1,1,2,2,47459
462,48.555,12,1,0,1,4,61248
463,47.902,14,0,0,0,2,42496
464,59.064,12,1,0,2,4,64745
465,51.369,14,2,1,1,4,68416
466,48.242,14,1,0,1,3,58930
467,57.608,16,1,0,2,0,28717
468,33.172,14,2,0,1,1,36994
469,55.972,14,1,1,2,3,55872
470,42.988,16,1,1,2,5,64490
471,49.86,16,0,0,1,2,40672
472,47.874,16,1,1,0,1,25773
473,53.516,16,1,0,0,7,101898
474,32.953,17,1,0,0,1,38441
475,59.971,18,0,1,1,1,35414
476,46.804,16,1,0,2,6,88807
477,51.232,12,0,0,2,1,40225
478,51.629,18,1,0,0,1,29286
479,43.785,16,2,1,0,3,66251
480,55.671,12,1,0,1,4,65769
481,33.353,16,1,1,1,6,118207
482,35.886,18,0,1,0,1,37479
483,58.811,0,1,1,2,3,51153
484,53.383,16,1,1,1,1,32779
485,40.989,16,1,0,1,5,80078
486,32.328,16,1,1,0,1,27775
487,50.559,17,1,1,2,4,65370
488,34.403,12,1,0,1,1,32299
489,57.322,18,1,1,1,1,26992
490,43.777,12,1,0,1,3,58116
491,43.017,16,1,1,1,3,43798
492,46.916,12,0,1,1,6,117666
493,51.288,16,0,1,1,5,78247
494,43.833,12,1,1,1,2,53996
495,44.931,13,0,0,1,6,108750
496,36.914,12,0,0,1,0,28900
497,30.615,12,0,1,2,4,61770
498,50.418,18,1,1,1,2,42152
499,31.593,16,1,0,2,1,42424
500,36.37,16,1,0,1,2,58972
501,48.067,12,1,1,2,6,111688
502,32.146,13,1,1,1,2,45251
503,30.169,16,1,1,2,6,87860
504,44.98,18,2,1,2,6,112557
505,45.767,16,0,1,2,3,52081
506,31.788,16,2,0,2,7,148800
507,49.975,14,1,0,2,7,127387
508,51.211,14,0,1,1,4,61100
509,50.486,14,0,1,2,1,32636
510,51.002,14,2,1,0,3,41277
511,52.614,14,1,0,1,4,74282
512,57.085,14,1,1,1,4,68955
513,55.222,14,1,0,0,7,124569
514,43.901,13,1,1,0,3,64177
515,48.007,16,0,0,0,1,40643
516,44.381,16,1,0,1,7,138672
517,33.755,20,1,1,0,2,34139
518,41.272,16,0,0,1,3,50065
519,53.993,16,1,0,2,7,98613
520,51.068,21,1,0,0,7,123608
521,49.601,16,3,1,2,1,34024
522,35.35,16,1,1,0,7,130845
523,38.099,12,0,1,1,7,161737
524,37.965,12,2,1,1,1,37093
525,59.64,14,0,0,1,5,61287
526,41.913,16,1,0,2,5,76658
527,46.888,18,0,1,0,1,37449
528,33.538,12,1,0,1,3,63488
529,38.173,18,1,0,1,3,46375
530,48.496,16,1,0,0,2,47001
531,35.377,16,1,0,0,3,51130
532,54.854,16,1,0,2,3,59089
533,37.895,16,1,0,1,1,40905
534,31.217,14,1,1,0,5,58976
535,43.559,8,0,0,0,4,71225
536,41.347,16,0,1,0,0,29456
537,45.439,17,1,1,0,3,57016
538,35.242,12,1,0,1,6,69535
539,51.016,16,1,1,0,1,46590
540,58.648,16,2,0,0,3,39416
541,33.668,14,1,0,0,7,90433
542,45.353,16,0,1,2,6,91795
543,54.042,17,0,1,1,3,66789
544,55.261,16,1,1,2,6,92168
545,57.287,16,0,1,0,7,138677
546,40.634,12,2,0,0,1,40561
547,41.965,16,0,1,2,3,71173
548,41.978,14,0,1,1,1,27873
549,31.703,18,1,1,0,6,118631
550,40.98,17,1,0,0,5,56979
551,46.705,14,1,0,2,6,76652
552,30.379,16,1,0,2,0,22575
553,34.936,9,1,0,0,1,42129
554,51.478,16,0,1,1,1,37012
555,56.399,17,1,1,1,3,62151
556,33.427,20,0,1,1,4,62602
557,46.6,16,2,1,1,5,74750
558,49.496,16,1,0,1,7,117628
559,59.96,21,1,0,1,1,35620
560,31.57,20,0,1,0,3,54038
561,33.012,16,2,0,2,1,39483
562,30.778,16,2,0,1,6,61289
563,50.597,20,3,0,1,7,115071
564,33.81,16,1,0,2,3,38945
565,38,12,0,0,0,2,43911
566,43.846,18,1,0,0,6,105424
567,33.471,14,1,1,1,3,48646
568,37.686,18,0,1,2,3,57364
569,59.86,16,1,1,0,3,47423
570,57.108,18,0,0,0,0,25200
571,37.05,14,1,0,1,6,109615
572,55.133,16,1,1,0,6,107359
573,34.894,17,1,1,0,6,80925
574,33.982,16,0,1,1,1,30412
575,52.474,12,0,0,0,7,133828
576,34.17,16,1,1,2,0,29760
577,55.727,12,0,1,0,5,63029
578,50.632,16,1,1,0,2,45300
579,52.657,18,2,0,1,3,54960
580,42.845,12,0,1,0,4,62335
581,34.717,16,1,1,2,5,76680
582,40.943,16,1,1,1,6,97845
583,39.953,18,1,0,0,2,45200
584,39.337,8,0,1,1,0,31301
585,53.031,16,0,1,0,3,58686
586,55.278,16,1,0,0,3,50334
587,48.432,14,1,1,0,5,79121
588,47.158,16,1,0,1,5,68095
589,55.526,16,0,1,2,1,27859
590,38.301,19,2,0,1,7,119101
591,39.493,14,3,1,2,0,31509
592,31.368,16,0,0,0,3,52532
593,52.326,18,1,0,2,3,55975
594,58.805,16,1,1,2,0,32646
595,44.2,12,1,0,2,2,38377
596,49.184,18,0,0,2,2,43055
597,41.627,16,1,0,2,7,123073
598,55.339,12,3,0,0,3,50155
599,44.042,16,1,0,2,2,42071
600,59.936,16,0,0,2,3,60697
601,35.606,18,1,0,0,1,26471
602,40.556,12,3,0,1,6,83310
603,50.991,9,0,0,0,6,78051
604,57.722,12,1,1,2,1,33776
605,45.089,20,3,0,1,7,116478
606,57.949,14,0,0,1,7,102916
607,47.37,18,0,1,2,6,66576
608,54.216,8,3,0,1,6,100165
609,44.773,18,1,0,0,3,60113
610,32.174,16,0,1,2,2,35801
611,33.801,20,1,0,2,3,45503
612,56.831,16,1,1,2,5,65296
613,30.049,14,3,0,0,0,29136
614,46.413,17,3,1,0,0,27805
615,38.347,17,1,1,2,0,29018
616,31.327,18,1,1,1,2,44445
617,53.988,12,1,0,1,2,48698
618,32.16,18,1,1,2,2,42105
619,47.085,16,2,0,2,2,43332
620,53.802,12,1,0,2,4,45642
621,42.58,12,0,1,1,0,22903
622,56.457,18,1,1,2,1,34711
623,57.197,20,0,1,0,1,30130
624,48.43,18,1,1,0,3,43503
625,45.673,14,2,1,0,3,51712
626,33.651,21,1,0,2,7,131479
627,34.511,13,2,1,2,0,28590
628,56.075,16,0,0,1,3,64348
629,40.86,11,1,1,1,3,43389
630,35.083,16,1,1,1,3,62338
631,59.476,16,1,1,2,1,31825
632,54.937,21,0,0,1,4,67770
633,37.203,16,1,1,0,7,141861
634,30.229,17,1,1,2,2,52912
635,32.642,18,1,0,1,1,35612
636,37.972,18,0,1,0,3,48795
637,56.618,12,1,1,1,2,49838
638,37.566,12,1,0,2,4,73361
639,36.181,14,1,1,2,5,63629
640,47.724,18,1,0,2,6,77775
641,30.147,14,0,1,1,7,112678
642,43.694,16,0,0,1,7,129944
643,44.121,16,0,1,2,2,53182
644,30.871,10,1,1,0,6,105462
645,30.62,16,0,0,2,0,32390
646,47.843,13,1,0,2,1,34918
647,50.828,12,1,1,2,1,31910
648,59.582,16,0,1,0,4,56877
649,57.31,14,0,0,0,3,53153
650,43.372,16,0,0,2,1,38023
651,39.71,16,0,1,2,3,54357
652,47.896,16,2,1,2,3,54300
653,53.754,17,0,1,1,1,33519
654,59.574,14,1,0,0,3,50687
655,48.144,16,2,0,2,2,54540
656,54.345,13,1,0,0,6,111161
657,38.455,16,1,1,2,1,36008
658,39.749,12,1,0,2,4,47025
659,33.292,16,0,1,2,2,42544
660,49.828,14,3,0,2,5,50271
661,30.364,16,1,1,1,3,58725
662,44.769,14,0,0,1,0,27415
663,37.672,13,1,0,1,3,42934
664,59.743,14,2,0,2,3,48424
665,38.9,16,0,0,0,0,29264
666,42.67,14,1,1,0,1,41231
667,38.903,16,0,0,0,0,25637
668,59.653,21,1,0,1,5,52651
669,45.928,16,0,1,2,3,50305
670,49.426,16,1,0,1,0,25168
671,33.233,16,3,0,1,1,30593
672,43.194,13,1,1,1,2,50640
673,44.469,13,2,1,1,6,112274
674,46.545,16,1,1,2,1,38080
675,42.831,18,1,1,1,1,41568
676,51.896,16,1,0,0,2,52545
677,44.522,16,1,0,0,2,41028
678,32.091,14,1,1,0,0,23458
679,57.352,16,1,1,1,1,26153
680,55.582,12,1,0,1,7,156957
681,49.603,14,2,0,0,4,67057
682,40.289,16,1,0,2,6,110860
683,49.371,17,1,0,1,1,31212
684,37.623,14,0,0,2,7,148732
685,47.788,16,1,0,1,1,41907
686,46.395,12,0,0,1,6,69371
687,43.402,16,0,0,1,6,89077
688,48.356,16,0,0,0,1,40169
689,48.271,16,2,1,1,6,105662
690,37.143,13,0,1,2,6,121357
691,37.673,14,3,0,1,5,45490
692,40.846,10,1,1,2,2,35738
693,50.917,16,0,1,0,4,64578
694,50.661,12,1,0,1,2,54357
695,55.825,14,1,0,0,3,55064
696,36.287,16,3,0,2,3,57722
697,39.847,16,0,0,2,4,74413
698,36.513,16,0,1,2,1,38179
699,38.502,12,1,0,1,0,24032
700,46.641,17,0,1,0,5,67876
701,39.056,16,1,1,0,6,90150
702,31.266,12,1,0,2,2,49695
703,54.403,14,0,0,1,4,64834
704,42.601,16,0,0,1,1,34108
705,38.299,12,0,1,2,1,34287
706,43.941,16,0,1,0,5,74802
707,51.548,12,3,0,0,4,55759
708,39.916,18,0,1,2,4,52116
709,39.359,19,1,0,2,1,35566
710,55.903,16,0,0,2,0,29493
711,58.916,21,0,1,2,4,73520
712,49.238,16,1,0,2,5,65850
713,42.402,16,1,1,0,1,39583
714,47.577,14,1,1,0,0,24094
715,50.213,16,1,1,1,1,33195
716,39.801,12,1,1,1,5,56107
717,46.794,16,1,1,1,2,32471
718,53.811,12,1,1,1,3,49581
719,46.991,12,1,0,2,2,37829
720,33.761,16,1,0,1,1,34610
721,40.098,16,1,0,2,0,29449
722,47.76,17,3,0,1,0,31403
723,52.985,12,2,0,2,0,24690
724,40.644,14,0,1,2,3,53887
725,49.347,16,1,1,2,6,87351
726,33.636,12,0,0,2,4,53123
727,45.96,12,1,1,2,5,50708
728,35.567,9,1,0,1,2,36139
729,34.657,12,1,0,2,6,101331
730,51.16,16,1,0,2,3,54374
731,39.42,19,3,0,0,1,37439
732,52.18,18,1,0,2,5,58272
733,37.27,18,1,1,0,1,35187
